ECLI,jaartal_delict,jaartal_uitspraak,regionale_eenheid,veroordeling,tenlastelegging,modus_operandi,geslacht_dader,geslacht_slachtoffer,strafmaat,moord_of_doodslag,verweer_verdediging,bewijstypen,aanleiding,gedraging,gevolg
ECLI:NL:GHARL:2019:5396,2012,2016,Oost-Nederland,Doodslag,Poging tot moord,Vuurwapen,Man,Man,15,Doodslag,Ontkenning,Observatie,Ruzie,Steekpartij,Dood later
ECLI:NL:HR:2021:8531,2013,2012,Noord-Nederland,Doodslag,Doodslag,Mes,Man,Man,20,Doodslag,Ontkenning,Forensisch bewijs,Ruzie,Slag met voorwerp,Zwaar gewond
ECLI:NL:HR:2023:7669,2019,2018,Rotterdam,Vrijspraak,Poging tot moord,Vuurwapen,Man,Man,20,Doodslag,Ontkenning,Getuigenverklaring,Psychose,Slag met voorwerp,Zwaar gewond
ECLI:NL:RBDHA:2015:3173,2015,2022,Rotterdam,Doodslag,Moord,Wurging,Man,Man,20,Doodslag,Noodweer,Bekentenis,Ruzie,Schietpartij,Dood direct
ECLI:NL:GHARL:2022:7342,2022,2021,Rotterdam,Vrijspraak,Doodslag,Anders,Man,Man,12,Doodslag,Geen verweer,Bekentenis,Ruzie,Vergiftiging,Dood later
ECLI:NL:HR:2018:4475,2021,2011,Amsterdam,Doodslag,Poging tot moord,Vuurwapen,Man,Man,10,Moord,Geen verweer,Getuigenverklaring,Relatieproblemen,Vergiftiging,Dood later
ECLI:NL:PHR:2019:7278,2021,2012,Noord-Nederland,Vrijspraak,Doodslag,Wurging,Vrouw,Man,15,Moord,Ontkenning,Observatie,Financieel,Verstikking,Dood direct
ECLI:NL:RBDHA:2016:572,2015,2017,Oost-Nederland,Doodslag,Moord,Vuurwapen,Man,Vrouw,15,Doodslag,Geen verweer,Getuigenverklaring,Relatieproblemen,Verstikking,Dood direct
ECLI:NL:PHR:2017:5191,2019,2017,Midden-Nederland,Moord,Doodslag,Mes,Man,Vrouw,10,Moord,Ontkenning,Getuigenverklaring,Financieel,Slag met voorwerp,Dood direct
ECLI:NL:HR:2023:6784,2010,2011,Noord-Nederland,Doodslag,Doodslag,Wurging,Man,Man,10,Doodslag,Ontkenning,Getuigenverklaring,Relatieproblemen,Steekpartij,Dood later
ECLI:NL:HR:2018:1958,2021,2019,Rotterdam,Moord,Moord,Vuurwapen,Man,Man,8,Doodslag,Geen verweer,Getuigenverklaring,Ruzie,Vergiftiging,Dood later
ECLI:NL:RBDHA:2016:2622,2021,2019,Noord-Nederland,Poging tot moord,Doodslag,Mes,Man,Vrouw,12,Doodslag,Ontkenning,Getuigenverklaring,Relatieproblemen,Steekpartij,Dood later
ECLI:NL:RBDHA:2019:8437,2015,2011,Oost-Nederland,Doodslag,Poging tot moord,Anders,Man,Vrouw,12,Doodslag,Ontkenning,Observatie,Wraak,Verstikking,Geen letsel
ECLI:NL:GHARL:2021:8005,2019,2024,Oost-Nederland,Doodslag,Moord,Vuurwapen,Man,Vrouw,8,Doodslag,Ontkenning,Bekentenis,Relatieproblemen,Steekpartij,Dood direct
ECLI:NL:RBDHA:2018:7583,2019,2012,Rotterdam,Doodslag,Poging tot moord,Vuurwapen,Man,Vrouw,10,Moord,Geen verweer,Forensisch bewijs,Relatieproblemen,Vergiftiging,Zwaar gewond
ECLI:NL:PHR:2021:3222,2012,2023,Amsterdam,Doodslag,Doodslag,Vuurwapen,Man,Vrouw,20,Moord,Geen verweer,Observatie,Wraak,Verstikking,Zwaar gewond
ECLI:NL:PHR:2016:4626,2019,2020,Rotterdam,Doodslag,Moord,Mes,Man,Man,12,Doodslag,Ontkenning,Bekentenis,Financieel,Verstikking,Zwaar gewond
ECLI:NL:RBDHA:2020:8418,2013,2020,Amsterdam,Vrijspraak,Poging tot moord,Wurging,Man,Vrouw,12,Doodslag,Noodweer,Getuigenverklaring,Financieel,Slag met voorwerp,Dood later
ECLI:NL:GHARL:2015:4734,2022,2021,Rotterdam,Moord,Doodslag,Wurging,Man,Vrouw,20,Doodslag,Geen verweer,Observatie,Ruzie,Vergiftiging,Dood direct
ECLI:NL:GHARL:2022:2534,2017,2015,Oost-Nederland,Poging tot moord,Moord,Mes,Man,Man,15,Moord,Ontkenning,Forensisch bewijs,Psychose,Steekpartij,Dood direct
ECLI:NL:RBDHA:2023:8035,2018,2019,Rotterdam,Moord,Poging tot moord,Vuurwapen,Man,Man,8,Doodslag,Ontkenning,Bekentenis,Wraak,Schietpartij,Dood direct
ECLI:NL:GHARL:2020:9142,2014,2019,Rotterdam,Moord,Doodslag,Anders,Man,Vrouw,20,Doodslag,Geen verweer,Bekentenis,Relatieproblemen,Verstikking,Geen letsel
ECLI:NL:RBDHA:2022:5372,2012,2014,Amsterdam,Vrijspraak,Poging tot moord,Wurging,Man,Vrouw,12,Moord,Ontkenning,Bekentenis,Relatieproblemen,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2018:9468,2017,2021,Rotterdam,Vrijspraak,Doodslag,Vuurwapen,Man,Man,12,Moord,Ontkenning,Getuigenverklaring,Wraak,Schietpartij,Zwaar gewond
ECLI:NL:RBDHA:2018:6830,2010,2021,Oost-Nederland,Doodslag,Doodslag,Vergif,Man,Man,12,Doodslag,Geen verweer,Bekentenis,Ruzie,Vergiftiging,Dood direct
ECLI:NL:HR:2020:7849,2011,2018,Noord-Nederland,Doodslag,Poging tot moord,Wurging,Man,Man,12,Doodslag,Ontkenning,Getuigenverklaring,Psychose,Schietpartij,Dood later
ECLI:NL:RBDHA:2021:2592,2010,2016,Amsterdam,Doodslag,Doodslag,Wurging,Man,Man,20,Doodslag,Geen verweer,Bekentenis,Ruzie,Vergiftiging,Dood later
ECLI:NL:RBDHA:2015:2168,2013,2016,Midden-Nederland,Moord,Doodslag,Vuurwapen,Vrouw,Man,8,Doodslag,Geen verweer,Getuigenverklaring,Financieel,Slag met voorwerp,Zwaar gewond
ECLI:NL:GHARL:2016:7313,2019,2024,Amsterdam,Vrijspraak,Doodslag,Wurging,Man,Man,8,Doodslag,Ontkenning,Bekentenis,Wraak,Vergiftiging,Dood direct
ECLI:NL:HR:2023:7586,2013,2011,Oost-Nederland,Vrijspraak,Poging tot moord,Wurging,Vrouw,Man,12,Moord,Ontkenning,Bekentenis,Wraak,Slag met voorwerp,Zwaar gewond
ECLI:NL:HR:2017:6817,2010,2024,Oost-Nederland,Poging tot moord,Doodslag,Mes,Man,Man,20,Moord,Geen verweer,Forensisch bewijs,Financieel,Verstikking,Zwaar gewond
ECLI:NL:PHR:2016:7792,2018,2014,Rotterdam,Doodslag,Doodslag,Mes,Man,Man,12,Moord,Geen verweer,Observatie,Relatieproblemen,Vergiftiging,Geen letsel
ECLI:NL:GHARL:2020:6612,2017,2024,Oost-Nederland,Moord,Poging tot moord,Vergif,Vrouw,Man,12,Doodslag,Ontkenning,Getuigenverklaring,Psychose,Verstikking,Dood direct
ECLI:NL:HR:2020:8842,2010,2018,Oost-Nederland,Moord,Moord,Wurging,Man,Man,10,Moord,Geen verweer,Getuigenverklaring,Financieel,Steekpartij,Dood later
ECLI:NL:RBDHA:2020:8094,2015,2016,Amsterdam,Moord,Moord,Wurging,Vrouw,Man,15,Doodslag,Ontkenning,Bekentenis,Financieel,Slag met voorwerp,Geen letsel
ECLI:NL:HR:2016:3946,2019,2019,Oost-Nederland,Doodslag,Moord,Vuurwapen,Man,Vrouw,15,Doodslag,Noodweer,Observatie,Psychose,Schietpartij,Dood later
ECLI:NL:GHARL:2018:1580,2013,2023,Amsterdam,Doodslag,Poging tot moord,Vergif,Man,Vrouw,8,Moord,Ontkenning,Bekentenis,Relatieproblemen,Steekpartij,Dood later
ECLI:NL:RBDHA:2016:1746,2022,2020,Amsterdam,Doodslag,Doodslag,Vergif,Vrouw,Man,15,Moord,Noodweer,Forensisch bewijs,Ruzie,Schietpartij,Dood direct
ECLI:NL:RBDHA:2017:5006,2012,2020,Oost-Nederland,Moord,Poging tot moord,Vuurwapen,Man,Vrouw,8,Doodslag,Geen verweer,Bekentenis,Relatieproblemen,Verstikking,Dood later
ECLI:NL:HR:2015:5414,2015,2018,Midden-Nederland,Doodslag,Moord,Mes,Man,Vrouw,15,Moord,Noodweer,Bekentenis,Psychose,Vergiftiging,Dood later
ECLI:NL:HR:2019:5973,2021,2022,Oost-Nederland,Doodslag,Poging tot moord,Wurging,Vrouw,Vrouw,8,Doodslag,Geen verweer,Getuigenverklaring,Relatieproblemen,Slag met voorwerp,Zwaar gewond
ECLI:NL:GHARL:2021:2485,2012,2021,Midden-Nederland,Doodslag,Doodslag,Wurging,Man,Man,12,Doodslag,Geen verweer,Getuigenverklaring,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2023:6851,2022,2016,Oost-Nederland,Poging tot moord,Moord,Mes,Man,Man,15,Moord,Geen verweer,Bekentenis,Relatieproblemen,Verstikking,Dood later
ECLI:NL:PHR:2017:2968,2015,2022,Rotterdam,Doodslag,Doodslag,Vuurwapen,Man,Man,20,Doodslag,Geen verweer,Forensisch bewijs,Financieel,Verstikking,Dood direct
ECLI:NL:HR:2021:4045,2010,2018,Midden-Nederland,Poging tot moord,Doodslag,Anders,Man,Man,10,Doodslag,Noodweer,Forensisch bewijs,Financieel,Steekpartij,Dood later
ECLI:NL:RBDHA:2017:3904,2010,2012,Midden-Nederland,Doodslag,Doodslag,Vuurwapen,Man,Vrouw,15,Doodslag,Geen verweer,Forensisch bewijs,Relatieproblemen,Slag met voorwerp,Dood direct
ECLI:NL:RBDHA:2019:7629,2012,2012,Rotterdam,Poging tot moord,Doodslag,Mes,Man,Man,8,Moord,Ontkenning,Getuigenverklaring,Relatieproblemen,Vergiftiging,Dood direct
ECLI:NL:GHARL:2015:7722,2019,2023,Noord-Nederland,Doodslag,Moord,Mes,Vrouw,Vrouw,20,Doodslag,Geen verweer,Forensisch bewijs,Psychose,Verstikking,Dood direct
ECLI:NL:GHARL:2023:2688,2021,2021,Noord-Nederland,Moord,Doodslag,Mes,Man,Vrouw,8,Moord,Noodweer,Getuigenverklaring,Wraak,Vergiftiging,Dood direct
ECLI:NL:HR:2022:5761,2012,2014,Amsterdam,Moord,Doodslag,Anders,Man,Man,12,Doodslag,Ontkenning,Bekentenis,Financieel,Verstikking,Dood direct
ECLI:NL:GHARL:2021:4197,2022,2011,Rotterdam,Poging tot moord,Poging tot moord,Vuurwapen,Man,Man,20,Doodslag,Noodweer,Bekentenis,Financieel,Steekpartij,Dood later
ECLI:NL:RBDHA:2019:3363,2011,2016,Rotterdam,Doodslag,Moord,Mes,Man,Vrouw,20,Moord,Ontkenning,Bekentenis,Relatieproblemen,Vergiftiging,Dood direct
ECLI:NL:RBDHA:2022:1847,2018,2016,Amsterdam,Moord,Moord,Wurging,Man,Man,12,Moord,Geen verweer,Forensisch bewijs,Wraak,Steekpartij,Dood direct
ECLI:NL:PHR:2021:9470,2015,2024,Noord-Nederland,Moord,Doodslag,Vuurwapen,Man,Man,8,Doodslag,Noodweer,Getuigenverklaring,Psychose,Verstikking,Dood direct
ECLI:NL:GHARL:2019:4937,2011,2021,Oost-Nederland,Doodslag,Moord,Wurging,Vrouw,Man,15,Moord,Geen verweer,Getuigenverklaring,Relatieproblemen,Verstikking,Dood direct
ECLI:NL:HR:2021:4597,2015,2023,Midden-Nederland,Doodslag,Moord,Mes,Man,Man,10,Doodslag,Noodweer,Observatie,Financieel,Schietpartij,Dood direct
ECLI:NL:HR:2015:8238,2021,2015,Rotterdam,Moord,Doodslag,Vuurwapen,Man,Vrouw,12,Doodslag,Geen verweer,Bekentenis,Relatieproblemen,Vergiftiging,Zwaar gewond
ECLI:NL:GHARL:2018:5872,2020,2019,Rotterdam,Vrijspraak,Poging tot moord,Vuurwapen,Man,Vrouw,12,Doodslag,Ontkenning,Observatie,Relatieproblemen,Slag met voorwerp,Geen letsel
ECLI:NL:PHR:2018:4206,2016,2019,Amsterdam,Vrijspraak,Doodslag,Mes,Man,Man,12,Doodslag,Ontkenning,Getuigenverklaring,Psychose,Schietpartij,Dood later
ECLI:NL:PHR:2016:745,2019,2016,Amsterdam,Doodslag,Poging tot moord,Anders,Man,Man,15,Doodslag,Ontkenning,Bekentenis,Ruzie,Verstikking,Dood later
ECLI:NL:GHARL:2022:646,2011,2022,Amsterdam,Vrijspraak,Moord,Wurging,Man,Vrouw,10,Moord,Ontkenning,Bekentenis,Relatieproblemen,Slag met voorwerp,Dood later
ECLI:NL:GHARL:2017:1576,2015,2012,Rotterdam,Vrijspraak,Poging tot moord,Mes,Man,Vrouw,10,Moord,Geen verweer,Observatie,Relatieproblemen,Steekpartij,Geen letsel
ECLI:NL:GHARL:2020:6907,2014,2011,Midden-Nederland,Moord,Doodslag,Mes,Man,Man,10,Doodslag,Geen verweer,Bekentenis,Financieel,Slag met voorwerp,Geen letsel
ECLI:NL:PHR:2018:2265,2015,2013,Amsterdam,Vrijspraak,Poging tot moord,Vergif,Man,Vrouw,10,Doodslag,Geen verweer,Observatie,Psychose,Slag met voorwerp,Dood later
ECLI:NL:GHARL:2023:8321,2012,2018,Oost-Nederland,Doodslag,Doodslag,Vuurwapen,Man,Man,20,Doodslag,Ontkenning,Observatie,Relatieproblemen,Vergiftiging,Dood direct
ECLI:NL:GHARL:2017:4310,2012,2013,Oost-Nederland,Doodslag,Doodslag,Vergif,Man,Vrouw,8,Doodslag,Ontkenning,Forensisch bewijs,Psychose,Slag met voorwerp,Zwaar gewond
ECLI:NL:RBDHA:2019:5649,2021,2024,Midden-Nederland,Doodslag,Doodslag,Vuurwapen,Man,Vrouw,10,Moord,Geen verweer,Getuigenverklaring,Wraak,Schietpartij,Geen letsel
ECLI:NL:HR:2022:1333,2016,2022,Midden-Nederland,Doodslag,Poging tot moord,Vuurwapen,Man,Vrouw,8,Doodslag,Geen verweer,Bekentenis,Wraak,Schietpartij,Dood direct
ECLI:NL:PHR:2018:6611,2022,2022,Oost-Nederland,Doodslag,Moord,Vuurwapen,Man,Man,8,Moord,Noodweer,Bekentenis,Financieel,Slag met voorwerp,Dood later
ECLI:NL:GHARL:2016:6564,2020,2022,Rotterdam,Doodslag,Poging tot moord,Wurging,Man,Man,10,Doodslag,Geen verweer,Observatie,Ruzie,Steekpartij,Geen letsel
ECLI:NL:HR:2019:8891,2017,2017,Rotterdam,Doodslag,Doodslag,Vuurwapen,Man,Vrouw,20,Moord,Noodweer,Forensisch bewijs,Relatieproblemen,Slag met voorwerp,Dood later
ECLI:NL:HR:2022:6138,2020,2012,Oost-Nederland,Moord,Doodslag,Wurging,Man,Vrouw,15,Doodslag,Geen verweer,Bekentenis,Financieel,Vergiftiging,Dood direct
ECLI:NL:GHARL:2021:6186,2015,2015,Noord-Nederland,Doodslag,Poging tot moord,Vuurwapen,Man,Man,20,Doodslag,Ontkenning,Forensisch bewijs,Relatieproblemen,Schietpartij,Dood later
ECLI:NL:HR:2018:7824,2012,2020,Amsterdam,Poging tot moord,Doodslag,Mes,Man,Vrouw,12,Doodslag,Ontkenning,Getuigenverklaring,Relatieproblemen,Steekpartij,Dood later
ECLI:NL:HR:2023:5474,2021,2014,Noord-Nederland,Vrijspraak,Doodslag,Mes,Man,Man,8,Moord,Ontkenning,Getuigenverklaring,Financieel,Verstikking,Zwaar gewond
ECLI:NL:PHR:2016:7706,2018,2014,Rotterdam,Moord,Doodslag,Mes,Man,Man,20,Doodslag,Noodweer,Forensisch bewijs,Ruzie,Vergiftiging,Dood later
ECLI:NL:GHARL:2021:2011,2021,2012,Noord-Nederland,Poging tot moord,Doodslag,Mes,Man,Man,10,Moord,Ontkenning,Forensisch bewijs,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2015:709,2019,2024,Midden-Nederland,Doodslag,Doodslag,Vuurwapen,Vrouw,Vrouw,8,Moord,Noodweer,Bekentenis,Wraak,Schietpartij,Dood direct
ECLI:NL:GHARL:2022:2002,2022,2017,Amsterdam,Moord,Poging tot moord,Mes,Man,Man,12,Doodslag,Geen verweer,Bekentenis,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:HR:2018:8907,2015,2014,Amsterdam,Moord,Poging tot moord,Vuurwapen,Man,Vrouw,12,Doodslag,Ontkenning,Forensisch bewijs,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2021:7532,2013,2018,Rotterdam,Moord,Poging tot moord,Wurging,Man,Vrouw,8,Moord,Geen verweer,Forensisch bewijs,Relatieproblemen,Slag met voorwerp,Dood later
ECLI:NL:GHARL:2023:6966,2020,2024,Oost-Nederland,Vrijspraak,Doodslag,Mes,Man,Vrouw,12,Doodslag,Geen verweer,Observatie,Ruzie,Steekpartij,Dood direct
ECLI:NL:PHR:2021:1722,2019,2023,Oost-Nederland,Doodslag,Moord,Wurging,Man,Vrouw,20,Doodslag,Geen verweer,Observatie,Wraak,Vergiftiging,Zwaar gewond
ECLI:NL:RBDHA:2021:4683,2012,2014,Midden-Nederland,Doodslag,Moord,Anders,Man,Man,8,Doodslag,Geen verweer,Forensisch bewijs,Relatieproblemen,Steekpartij,Dood later
ECLI:NL:HR:2020:3659,2016,2022,Amsterdam,Poging tot moord,Poging tot moord,Wurging,Man,Man,20,Moord,Ontkenning,Bekentenis,Relatieproblemen,Vergiftiging,Dood direct
ECLI:NL:RBDHA:2022:3968,2014,2016,Rotterdam,Moord,Doodslag,Vuurwapen,Man,Vrouw,10,Moord,Noodweer,Observatie,Relatieproblemen,Verstikking,Geen letsel
ECLI:NL:GHARL:2016:6118,2021,2012,Rotterdam,Doodslag,Moord,Mes,Man,Man,12,Moord,Ontkenning,Bekentenis,Wraak,Vergiftiging,Geen letsel
ECLI:NL:GHARL:2015:6623,2021,2023,Midden-Nederland,Doodslag,Poging tot moord,Vuurwapen,Man,Man,8,Doodslag,Geen verweer,Observatie,Psychose,Slag met voorwerp,Geen letsel
ECLI:NL:GHARL:2018:2101,2014,2017,Oost-Nederland,Doodslag,Moord,Vuurwapen,Man,Man,8,Moord,Geen verweer,Getuigenverklaring,Ruzie,Schietpartij,Zwaar gewond
ECLI:NL:RBDHA:2016:3575,2012,2011,Oost-Nederland,Vrijspraak,Poging tot moord,Anders,Man,Vrouw,20,Doodslag,Ontkenning,Getuigenverklaring,Psychose,Slag met voorwerp,Dood direct
ECLI:NL:HR:2015:5564,2012,2021,Oost-Nederland,Doodslag,Moord,Wurging,Man,Man,15,Doodslag,Geen verweer,Getuigenverklaring,Relatieproblemen,Steekpartij,Dood later
ECLI:NL:PHR:2017:9350,2021,2024,Amsterdam,Doodslag,Doodslag,Anders,Man,Man,8,Moord,Ontkenning,Getuigenverklaring,Relatieproblemen,Slag met voorwerp,Zwaar gewond
ECLI:NL:PHR:2016:9180,2010,2021,Amsterdam,Moord,Moord,Mes,Vrouw,Vrouw,20,Moord,Ontkenning,Getuigenverklaring,Relatieproblemen,Schietpartij,Dood later
ECLI:NL:PHR:2018:3917,2021,2020,Amsterdam,Doodslag,Poging tot moord,Anders,Vrouw,Vrouw,8,Moord,Ontkenning,Getuigenverklaring,Wraak,Schietpartij,Dood later
ECLI:NL:GHARL:2017:9864,2019,2012,Rotterdam,Doodslag,Doodslag,Vuurwapen,Man,Man,10,Doodslag,Noodweer,Forensisch bewijs,Psychose,Steekpartij,Zwaar gewond
ECLI:NL:HR:2019:2470,2016,2023,Amsterdam,Doodslag,Moord,Anders,Man,Man,10,Doodslag,Noodweer,Getuigenverklaring,Financieel,Steekpartij,Zwaar gewond
ECLI:NL:PHR:2023:4206,2022,2018,Amsterdam,Doodslag,Poging tot moord,Mes,Man,Vrouw,12,Moord,Ontkenning,Forensisch bewijs,Relatieproblemen,Vergiftiging,Dood later
ECLI:NL:PHR:2016:522,2019,2018,Midden-Nederland,Moord,Doodslag,Wurging,Man,Man,20,Moord,Geen verweer,Bekentenis,Financieel,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2015:5969,2010,2021,Amsterdam,Doodslag,Moord,Vuurwapen,Man,Man,12,Moord,Ontkenning,Observatie,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2020:358,2012,2020,Rotterdam,Doodslag,Poging tot moord,Vuurwapen,Man,Vrouw,15,Moord,Noodweer,Getuigenverklaring,Wraak,Steekpartij,Geen letsel
ECLI:NL:PHR:2019:958,2019,2019,Midden-Nederland,Vrijspraak,Doodslag,Wurging,Man,Man,8,Doodslag,Geen verweer,Forensisch bewijs,Ruzie,Slag met voorwerp,Geen letsel
ECLI:NL:PHR:2021:8719,2015,2013,Amsterdam,Moord,Doodslag,Vergif,Man,Man,15,Doodslag,Ontkenning,Bekentenis,Financieel,Schietpartij,Zwaar gewond
ECLI:NL:HR:2016:7902,2022,2018,Oost-Nederland,Doodslag,Moord,Mes,Man,Vrouw,12,Moord,Ontkenning,Observatie,Ruzie,Steekpartij,Dood later
ECLI:NL:RBDHA:2020:8508,2019,2011,Oost-Nederland,Doodslag,Doodslag,Mes,Man,Man,10,Moord,Geen verweer,Bekentenis,Ruzie,Vergiftiging,Dood later
ECLI:NL:HR:2022:8354,2013,2019,Noord-Nederland,Doodslag,Doodslag,Vuurwapen,Vrouw,Man,8,Doodslag,Noodweer,Forensisch bewijs,Ruzie,Steekpartij,Geen letsel
ECLI:NL:PHR:2015:8643,2020,2022,Noord-Nederland,Doodslag,Doodslag,Vuurwapen,Man,Man,12,Moord,Geen verweer,Forensisch bewijs,Wraak,Vergiftiging,Geen letsel
ECLI:NL:GHARL:2022:610,2019,2011,Midden-Nederland,Poging tot moord,Poging tot moord,Mes,Vrouw,Vrouw,20,Moord,Geen verweer,Bekentenis,Financieel,Steekpartij,Dood later
ECLI:NL:HR:2022:6680,2011,2019,Noord-Nederland,Doodslag,Moord,Mes,Man,Vrouw,12,Moord,Geen verweer,Forensisch bewijs,Relatieproblemen,Vergiftiging,Zwaar gewond
ECLI:NL:RBDHA:2016:8132,2017,2017,Oost-Nederland,Vrijspraak,Moord,Mes,Man,Vrouw,12,Doodslag,Noodweer,Getuigenverklaring,Relatieproblemen,Steekpartij,Zwaar gewond
ECLI:NL:RBDHA:2016:1423,2012,2024,Oost-Nederland,Moord,Poging tot moord,Vuurwapen,Man,Vrouw,15,Doodslag,Ontkenning,Getuigenverklaring,Ruzie,Verstikking,Geen letsel
ECLI:NL:GHARL:2017:1176,2015,2020,Oost-Nederland,Doodslag,Poging tot moord,Mes,Man,Man,12,Doodslag,Noodweer,Getuigenverklaring,Financieel,Steekpartij,Geen letsel
ECLI:NL:PHR:2019:9690,2021,2018,Oost-Nederland,Doodslag,Doodslag,Wurging,Vrouw,Vrouw,15,Moord,Geen verweer,Forensisch bewijs,Ruzie,Vergiftiging,Zwaar gewond
ECLI:NL:GHARL:2021:9887,2011,2019,Midden-Nederland,Moord,Moord,Anders,Man,Vrouw,12,Doodslag,Ontkenning,Observatie,Financieel,Steekpartij,Dood direct
ECLI:NL:GHARL:2022:8382,2013,2023,Rotterdam,Vrijspraak,Poging tot moord,Vuurwapen,Man,Vrouw,20,Doodslag,Noodweer,Observatie,Wraak,Verstikking,Dood direct
ECLI:NL:RBDHA:2016:1974,2015,2013,Oost-Nederland,Poging tot moord,Poging tot moord,Mes,Vrouw,Man,8,Moord,Ontkenning,Observatie,Ruzie,Verstikking,Zwaar gewond
ECLI:NL:PHR:2021:7498,2015,2022,Amsterdam,Poging tot moord,Doodslag,Mes,Man,Man,10,Doodslag,Ontkenning,Getuigenverklaring,Ruzie,Verstikking,Dood later
ECLI:NL:PHR:2021:5653,2012,2020,Noord-Nederland,Vrijspraak,Poging tot moord,Mes,Man,Man,12,Doodslag,Noodweer,Bekentenis,Financieel,Steekpartij,Zwaar gewond
ECLI:NL:RBDHA:2021:6915,2020,2013,Oost-Nederland,Doodslag,Doodslag,Vuurwapen,Man,Man,8,Doodslag,Ontkenning,Observatie,Ruzie,Vergiftiging,Dood direct
ECLI:NL:HR:2020:7092,2011,2022,Amsterdam,Moord,Doodslag,Wurging,Man,Man,12,Doodslag,Geen verweer,Observatie,Financieel,Schietpartij,Dood later
ECLI:NL:GHARL:2019:6232,2021,2024,Oost-Nederland,Vrijspraak,Poging tot moord,Mes,Man,Man,10,Doodslag,Geen verweer,Observatie,Financieel,Schietpartij,Geen letsel
ECLI:NL:PHR:2022:1199,2020,2013,Noord-Nederland,Moord,Doodslag,Vuurwapen,Man,Vrouw,20,Moord,Noodweer,Observatie,Relatieproblemen,Steekpartij,Dood later
ECLI:NL:HR:2016:1627,2020,2012,Midden-Nederland,Doodslag,Doodslag,Vergif,Man,Man,8,Moord,Noodweer,Getuigenverklaring,Wraak,Verstikking,Dood later
ECLI:NL:RBDHA:2016:6205,2021,2017,Amsterdam,Vrijspraak,Doodslag,Vuurwapen,Vrouw,Man,8,Moord,Ontkenning,Getuigenverklaring,Ruzie,Verstikking,Dood later
ECLI:NL:PHR:2023:1082,2015,2021,Oost-Nederland,Poging tot moord,Doodslag,Wurging,Man,Man,20,Doodslag,Noodweer,Bekentenis,Ruzie,Schietpartij,Dood later
ECLI:NL:GHARL:2016:6830,2017,2020,Amsterdam,Moord,Doodslag,Vuurwapen,Man,Vrouw,10,Doodslag,Noodweer,Forensisch bewijs,Ruzie,Steekpartij,Dood direct
ECLI:NL:GHARL:2021:942,2010,2020,Rotterdam,Doodslag,Moord,Mes,Man,Man,12,Doodslag,Noodweer,Observatie,Wraak,Vergiftiging,Dood direct
ECLI:NL:GHARL:2019:5861,2014,2016,Oost-Nederland,Vrijspraak,Moord,Mes,Man,Man,20,Moord,Noodweer,Bekentenis,Relatieproblemen,Verstikking,Zwaar gewond
ECLI:NL:HR:2023:3585,2013,2019,Midden-Nederland,Doodslag,Poging tot moord,Mes,Man,Man,20,Doodslag,Ontkenning,Forensisch bewijs,Relatieproblemen,Steekpartij,Dood direct
ECLI:NL:PHR:2022:3774,2013,2017,Oost-Nederland,Moord,Moord,Vuurwapen,Man,Man,20,Moord,Geen verweer,Getuigenverklaring,Relatieproblemen,Verstikking,Dood direct
ECLI:NL:HR:2020:9213,2021,2017,Noord-Nederland,Doodslag,Doodslag,Mes,Man,Vrouw,12,Doodslag,Ontkenning,Bekentenis,Ruzie,Slag met voorwerp,Dood later
ECLI:NL:GHARL:2016:4664,2011,2020,Midden-Nederland,Vrijspraak,Moord,Vuurwapen,Man,Man,10,Doodslag,Ontkenning,Getuigenverklaring,Wraak,Vergiftiging,Dood later
ECLI:NL:PHR:2021:9290,2015,2022,Amsterdam,Doodslag,Poging tot moord,Wurging,Man,Vrouw,15,Doodslag,Ontkenning,Bekentenis,Psychose,Verstikking,Dood direct
ECLI:NL:HR:2019:574,2014,2023,Rotterdam,Doodslag,Moord,Anders,Vrouw,Man,20,Moord,Ontkenning,Getuigenverklaring,Psychose,Schietpartij,Zwaar gewond
ECLI:NL:PHR:2019:5162,2022,2014,Midden-Nederland,Doodslag,Moord,Wurging,Man,Man,8,Doodslag,Geen verweer,Forensisch bewijs,Ruzie,Verstikking,Zwaar gewond
ECLI:NL:GHARL:2020:200,2011,2015,Rotterdam,Vrijspraak,Doodslag,Wurging,Man,Vrouw,10,Moord,Ontkenning,Forensisch bewijs,Ruzie,Steekpartij,Dood direct
ECLI:NL:PHR:2017:9378,2021,2017,Amsterdam,Doodslag,Poging tot moord,Wurging,Man,Vrouw,15,Doodslag,Ontkenning,Getuigenverklaring,Psychose,Slag met voorwerp,Dood direct
ECLI:NL:RBDHA:2016:2424,2010,2016,Amsterdam,Poging tot moord,Doodslag,Wurging,Man,Man,8,Doodslag,Geen verweer,Forensisch bewijs,Psychose,Vergiftiging,Dood later
ECLI:NL:HR:2016:8791,2010,2015,Midden-Nederland,Vrijspraak,Moord,Vuurwapen,Man,Man,8,Doodslag,Geen verweer,Forensisch bewijs,Wraak,Slag met voorwerp,Dood direct
